From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,Gene Names
Q60049,Q60049,reviewed,NOX_THET8,NADH dehydrogenase (EC 7.1.1.2) (H(2)O(2)-forming NADH oxidase) (NADH:oxygen oxidoreductase),nox TTHA0425,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),205,nox
O31663,O31663,reviewed,MTNK_BACSU,Methylthioribose kinase (MTR kinase) (EC 2.7.1.100),mtnK ykrT BSU13560,Bacillus subtilis (strain 168),397,mtnK
P00864,P00864,reviewed,CAPP_ECOLI,Phosphoenolpyruvate carboxylase (PEPC) (PEPCase) (EC 4.1.1.31),ppc glu b3956 JW3928,Escherichia coli (strain K12),883,ppc
P41367,P41367,reviewed,ACADM_PIG,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial (MCAD) (EC 1.3.8.7)",ACADM,Sus scrofa (Pig),421,ACADM
O27122,O27122,reviewed,RPO5_METTH,DNA-directed RNA polymerase subunit Rpo5 (EC 2.7.7.6) (DNA-directed RNA polymerase subunit H) (RPB5),rpo5 rpoH MTH_1048,Methanothermobacter thermautotrophicus (strain ATCC 29096 / DSM 1053 / JCM 10044 / NBRC 100330 / Delta H) (Methanobacterium thermoautotrophicum),77,rpo5
O44342,O44342,reviewed,WBL_DROME,Protein windbeutel (Erp29 homolog),wbl wind CG7225,Drosophila melanogaster (Fruit fly),257,wbl
Q62838,Q62838,reviewed,MUSK_RAT,"Muscle, skeletal receptor tyrosine protein kinase (EC 2.7.10.1) (Muscle-specific tyrosine protein kinase receptor) (MuSK) (Muscle-specific kinase receptor)",Musk,Rattus norvegicus (Rat),868,Musk
P69167,P9WGT0,reviewed,HSD_MYCTO,3-alpha-(or 20-beta)-hydroxysteroid dehydrogenase (EC 1.1.1.53),fabG3 MT2058,Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh),260,fabG3
P69167,P9WGT1,reviewed,HSD_MYCTU,"3-alpha-(or 20-beta)-hydroxysteroid dehydrogenase (EC 1.1.1.53) (NADH-dependent 3alpha, 20beta-hydroxysteroid dehydrogenase)",fabG3 Rv2002 MTCY39.16c,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),260,fabG3
P02853,P02853,reviewed,PHSB_PHAVU,"Phaseolin, beta-type",,Phaseolus vulgaris (Kidney bean) (French bean),421,
Q9H6P5,Q9H6P5,reviewed,TASP1_HUMAN,Threonine aspartase 1 (Taspase-1) (EC 3.4.25.-) [Cleaved into: Threonine aspartase subunit alpha; Threonine aspartase subunit beta],TASP1 C20orf13,Homo sapiens (Human),420,TASP1
P05122,P05122,reviewed,KCRB_CHICK,Creatine kinase B-type (EC 2.7.3.2) (B-CK) (Creatine kinase B chain) (Creatine phosphokinase M-type) (CPK-B),CKB,Gallus gallus (Chicken),381,CKB
Q6PIW4,Q6PIW4,reviewed,FIGL1_HUMAN,Fidgetin-like protein 1 (EC 3.6.4.-),FIGNL1,Homo sapiens (Human),674,FIGNL1
P56216,P56216,reviewed,VAOX_PENSI,Vanillyl-alcohol oxidase (EC 1.1.3.38) (4-allylphenol oxidase) (Aryl-alcohol oxidase),VAOA,Penicillium simplicissimum,560,VAOA
P14735,P14735,reviewed,IDE_HUMAN,Insulin-degrading enzyme (EC 3.4.24.56) (Abeta-degrading protease) (Insulin protease) (Insulinase) (Insulysin),IDE,Homo sapiens (Human),1019,IDE
P16391,P16391,reviewed,HA12_RAT,"RT1 class I histocompatibility antigen, AA alpha chain",,Rattus norvegicus (Rat),371,
P08074,P08074,reviewed,CBR2_MOUSE,Carbonyl reductase [NADPH] 2 (EC 1.1.1.184) (Adipocyte protein P27) (AP27) (Lung carbonyl reductase) (LCR) (NADPH-dependent carbonyl reductase 2),Cbr2,Mus musculus (Mouse),244,Cbr2
GSTT2_HUMAN,P0CG30,reviewed,GSTT2_HUMAN,Glutathione S-transferase theta-2B (EC 2.5.1.18) (Glutathione S-transferase theta-2) (GST class-theta-2),GSTT2B GSTT2,Homo sapiens (Human),244,GSTT2B
DGKA_HUMAN,P23743,reviewed,DGKA_HUMAN,Diacylglycerol kinase alpha (DAG kinase alpha) (EC 2.7.1.107) (EC 2.7.1.93) (80 kDa diacylglycerol kinase) (Diglyceride kinase alpha) (DGK-alpha),DGKA DAGK DAGK1,Homo sapiens (Human),735,DGKA
P26902,P26902,reviewed,DPPA_BACSU,D-aminopeptidase (EC 3.4.11.-),dppA dciAA BSU12920,Bacillus subtilis (strain 168),274,dppA
P62580,P62580,reviewed,CAT_SALTI,Chloramphenicol acetyltransferase (CAT) (EC 2.3.1.28),cat HCM1.206,Salmonella typhi,219,cat
P12333,P12333,reviewed,CB2A_SPIOL,"Chlorophyll a-b binding protein, chloroplastic (LHCII type I CAB) (LHCP)",,Spinacia oleracea (Spinach),267,
TRAF4_HUMAN,Q9BUZ4,reviewed,TRAF4_HUMAN,TNF receptor-associated factor 4 (EC 2.3.2.27) (Cysteine-rich domain associated with RING and Traf domains protein 1) (Metastatic lymph node gene 62 protein) (MLN 62) (RING finger protein 83),TRAF4 CART1 MLN62 RNF83,Homo sapiens (Human),470,TRAF4
O35718,O35718,reviewed,SOCS3_MOUSE,Suppressor of cytokine signaling 3 (SOCS-3) (Cytokine-inducible SH2 protein 3) (CIS-3) (Protein EF-10),Socs3 Cis3 Cish3,Mus musculus (Mouse),225,Socs3
P76469,P76469,reviewed,RHMA_ECOLI,2-keto-3-deoxy-L-rhamnonate aldolase (KDR aldolase) (EC 4.1.2.53) (2-dehydro-3-deoxyrhamnonate aldolase) (2-keto-3-deoxy acid sugar aldolase),rhmA yfaU b2245 JW2239,Escherichia coli (strain K12),267,rhmA
P83851,P83851,reviewed,IUNH_LEIMA,Inosine-uridine preferring nucleoside hydrolase (IU-NH) (IU-nucleoside hydrolase) (EC 3.2.2.2) (EC 3.2.2.3) (Non-specific nucleoside hydrolase),NSNH,Leishmania major,314,NSNH
P09792,P09792,reviewed,GST28_SCHMA,Glutathione S-transferase class-mu 28 kDa isozyme (GST 28) (EC 2.5.1.18) (GSH transferase S.m. 1-1) (Protective 28 kDa antigen) (Sm28 antigen) (Sm28GST) (Smp28),GST28 Smp_054160,Schistosoma mansoni (Blood fluke),211,GST28
HYAL1_HUMAN,Q12794,reviewed,HYAL1_HUMAN,Hyaluronidase-1 (Hyal-1) (EC 3.2.1.35) (Hyaluronoglucosaminidase-1) (Lung carcinoma protein 1) (LuCa-1),HYAL1 LUCA1,Homo sapiens (Human),435,HYAL1
Q3JKE9,Q3JKE9,reviewed,MDH_BURP1,Malate dehydrogenase (EC 1.1.1.37),mdh BURPS1710b_A0795,Burkholderia pseudomallei (strain 1710b),327,mdh
P0A6L2,P0A6L2,reviewed,DAPA_ECOLI,4-hydroxy-tetrahydrodipicolinate synthase (HTPA synthase) (EC 4.3.3.7),dapA b2478 JW2463,Escherichia coli (strain K12),292,dapA
P55984,P55984,reviewed,ISPT_HELPY,Isoprenyl transferase (EC 2.5.1.-),uppS HP_1221,Helicobacter pylori (strain ATCC 700392 / 26695) (Campylobacter pylori),234,uppS
O68557,O68557,reviewed,T2B1_BACIU,Type II restriction enzyme BglI (R.BglI) (EC 3.1.21.4) (Endonuclease BglI) (Type-2 restriction enzyme BglI),bglIR,Bacillus subtilis,299,bglIR
P14421,P14421,reviewed,PA2N_GLOHA,Neutral phospholipase A2 agkistrodotoxin (AGTX) (ATX) (svPLA2) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase),,Gloydius halys (Chinese water mocassin) (Agkistrodon halys),122,
P01053,P01053,reviewed,ICI2_HORVU,Subtilisin-chymotrypsin inhibitor-2A (CI-2A),,Hordeum vulgare (Barley),84,
P54948,P54948,reviewed,PAC_BACSU,Penicillin V acylase (PVA) (EC 3.5.1.11) (BsuPVA) (Penicillin V amidase) (Penicillin amidohydrolase),yxeI BSU39540 LP9A,Bacillus subtilis (strain 168),328,yxeI
P21873,P21873,reviewed,ODPA_GEOSE,Pyruvate dehydrogenase E1 component subunit alpha (EC 1.2.4.1),pdhA,Geobacillus stearothermophilus (Bacillus stearothermophilus),369,pdhA
P30233,P30233,reviewed,2SS2_CAPMA,Sweet protein mabinlin-2 (Mabinlin II) (MAB II) [Cleaved into: Sweet protein mabinlin-2 chain A; Sweet protein mabinlin-2 chain B],,Capparis masaikai (Mabinlang),155,
P42106,P42106,reviewed,QDOI_BACSU,"Quercetin 2,3-dioxygenase (Quercetinase) (EC 1.13.11.24) (Flavonol 2,4-dioxygenase)",qdoI yxaG BSU39980 S14G,Bacillus subtilis (strain 168),337,qdoI
P14527,P14527,reviewed,HBA4_ONCMY,Hemoglobin subunit alpha-4 (Alpha-4-globin) (Hemoglobin alpha-4 chain),hba4,Oncorhynchus mykiss (Rainbow trout) (Salmo gairdneri),142,hba4
P30711,P30711,reviewed,GSTT1_HUMAN,Glutathione S-transferase theta-1 (EC 2.5.1.18) (GST class-theta-1) (Glutathione transferase T1-1),GSTT1,Homo sapiens (Human),240,GSTT1
P76215,P76215,reviewed,ASTE_ECOLI,Succinylglutamate desuccinylase (EC 3.5.1.96),astE ydjS b1744 JW1733,Escherichia coli (strain K12),322,astE
O29610,O29610,reviewed,IDH_ARCFU,Isocitrate dehydrogenase [NADP] (IDH) (EC 1.1.1.42) (IDP) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase),icd AF_0647,Archaeoglobus fulgidus (strain ATCC 49558 / DSM 4304 / JCM 9628 / NBRC 100126 / VC-16),412,icd
CP2E1_HUMAN,P05181,reviewed,CP2E1_HUMAN,Cytochrome P450 2E1 (EC 1.14.14.1) (4-nitrophenol 2-hydroxylase) (EC 1.14.13.n7) (CYPIIE1) (Cytochrome P450-J),CYP2E1 CYP2E,Homo sapiens (Human),493,CYP2E1
P28078,P28078,reviewed,DMA_MOUSE,"Class II histocompatibility antigen, M alpha chain",H2-DMa H2-Ma Ma,Mus musculus (Mouse),261,H2-DMa
P03958,P03958,reviewed,ADA_MOUSE,Adenosine deaminase (EC 3.5.4.4) (Adenosine aminohydrolase),Ada,Mus musculus (Mouse),352,Ada
P94690,P94690,reviewed,CYC3A_DESAF,Acidic cytochrome c3,,Desulfocurvibacter africanus (Desulfovibrio africanus),127,
Q5HGD2,Q5HGD2,reviewed,GLPK_STAAC,Glycerol kinase (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase) (Glycerokinase) (GK),glpK SACOL1320,Staphylococcus aureus (strain COL),498,glpK
CCNA2_HUMAN,P20248,reviewed,CCNA2_HUMAN,Cyclin-A2 (Cyclin-A) (Cyclin A),CCNA2 CCN1 CCNA,Homo sapiens (Human),432,CCNA2
P01026,P01026,reviewed,CO3_RAT,Complement C3 [Cleaved into: Complement C3 beta chain; C3-beta-c (C3bc) (Neutrophil chemotactic factor-2) (ENCF-2); Complement C3 alpha chain; C3a anaphylatoxin (Neutrophil chemotactic factor-1) (ENCF-1); Acylation stimulating protein (ASP) (C3adesArg); Complement C3b alpha' chain; Complement C3c alpha' chain fragment 1; Complement C3dg fragment; Complement C3g fragment; Complement C3d fragment; Complement C3f fragment; Complement C3c alpha' chain fragment 2],C3,Rattus norvegicus (Rat),1663,C3
P04401,P04401,reviewed,IL5_MOUSE,Interleukin-5 (IL-5) (B-cell growth factor II) (BCGF-II) (Cytotoxic T-lymphocyte inducer) (Eosinophil differentiation factor) (T-cell replacing factor) (TRF),Il5 Il-5,Mus musculus (Mouse),133,Il5
P93025,P93025,reviewed,PHOT2_ARATH,Phototropin-2 (EC 2.7.11.1) (Defective in chloroplast avoidance protein 1) (Non-phototropic hypocotyl 1-like protein 1) (AtKin7) (NPH1-like protein 1),PHOT2 CAV1 KIN7 NPL1 At5g58140 K21L19.6,Arabidopsis thaliana (Mouse-ear cress),915,PHOT2
P26038,P26038,reviewed,MOES_HUMAN,Moesin (Membrane-organizing extension spike protein),MSN,Homo sapiens (Human),577,MSN
O35543,O35543,reviewed,HPGDS_RAT,Hematopoietic prostaglandin D synthase (H-PGDS) (EC 5.3.99.2) (GST class-sigma) (Glutathione S-transferase) (EC 2.5.1.18) (Glutathione-dependent PGD synthase) (Glutathione-requiring prostaglandin D synthase) (Prostaglandin-H2 D-isomerase),Hpgds Gsts Pgds Ptgds2,Rattus norvegicus (Rat),199,Hpgds
P0A9T4,P0A9T4,reviewed,TAS_ECOLI,Protein tas,tas ygdS b2834 JW2802,Escherichia coli (strain K12),346,tas
Q9TUM0,Q9TUM0,reviewed,TRFL_CAMDR,Lactotransferrin (Lactoferrin) (EC 3.4.21.-),LTF,Camelus dromedarius (Dromedary) (Arabian camel),708,LTF
Q29495,Q29495,reviewed,SNAT_SHEEP,Serotonin N-acetyltransferase (Serotonin acetylase) (EC 2.3.1.87) (Aralkylamine N-acetyltransferase) (AA-NAT),AANAT SNAT,Ovis aries (Sheep),207,AANAT
Q5HNV1,Q5HNV1,reviewed,AROE_STAEQ,Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25),aroE SERP1163,Staphylococcus epidermidis (strain ATCC 35984 / DSM 28319 / BCRC 17069 / CCUG 31568 / BM 3577 / RP62A),269,aroE
Q7SID9,Q7SID9,unreviewed,Q7SID9_BREST,Oxidoreductase,,Brevibacterium sterolicum,561,
P30084,P30084,reviewed,ECHM_HUMAN,"Enoyl-CoA hydratase, mitochondrial (mECH) (mECH1) (EC 4.2.1.17) (EC 5.3.3.8) (Enoyl-CoA hydratase 1) (ECHS1) (Short-chain enoyl-CoA hydratase) (SCEH)",ECHS1,Homo sapiens (Human),290,ECHS1
P17157,P17157,reviewed,PHO85_YEAST,Cyclin-dependent protein kinase PHO85 (EC 2.7.11.22) (Negative regulator of the PHO system) (Serine/threonine-protein kinase PHO85),PHO85 SSG3 YPL031C P7102.18A,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),305,PHO85
Q9P0R6,Q9P0R6,reviewed,GSKIP_HUMAN,GSK3B-interacting protein (GSKIP) (GSK3beta interaction protein),GSKIP C14orf129 HSPC210,Homo sapiens (Human),139,GSKIP
P47998,P47998,reviewed,CYSK1_ARATH,Cysteine synthase 1 (EC 2.5.1.47) (At.OAS.5-8) (Beta-substituted Ala synthase 1;1) (ARAth-Bsas1;1) (CSase A) (AtCS-A) (Cys-3A) (O-acetylserine (thiol)-lyase 1) (OAS-TL A) (O-acetylserine sulfhydrylase) (Protein ONSET OF LEAF DEATH 3),OASA1 OAS1 OASS OLD3 At4g14880 dl3480c,Arabidopsis thaliana (Mouse-ear cress),322,OASA1
P58764,P58764,reviewed,ETK_ECO27,Tyrosine-protein kinase etk (EC 2.7.10.-),etk E2348C_0966,Escherichia coli O127:H6 (strain E2348/69 / EPEC),726,etk
P0A578,P9WND0,reviewed,DHPS1_MYCTO,Dihydropteroate synthase (DHPS) (EC 2.5.1.15) (Dihydropteroate pyrophosphorylase),folP1 MT3712,Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh),280,folP1
P0A578,P9WND1,reviewed,DHPS1_MYCTU,Dihydropteroate synthase (DHPS) (EC 2.5.1.15) (Dihydropteroate pyrophosphorylase),folP1 Rv3608c MTCY07H7B.14,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),280,folP1
Q8R3P2,Q8R3P2,reviewed,DTX2_MOUSE,Probable E3 ubiquitin-protein ligase DTX2 (EC 2.3.2.27) (Protein deltex-2) (Deltex2) (mDTX2) (RING-type E3 ubiquitin transferase DTX2),Dtx2,Mus musculus (Mouse),619,Dtx2
Q8LAS7,Q8LAS7,reviewed,CNBL2_ARATH,Calcineurin B-like protein 2 (SOS3-like calcium-binding protein 1),CBL2 SCABP1 At5g55990 MDA7.3,Arabidopsis thaliana (Mouse-ear cress),226,CBL2
P49050,P49050,reviewed,NIA_PICAN,Nitrate reductase [NADPH] (NR) (EC 1.7.1.3),YNR1,Pichia angusta (Yeast) (Hansenula polymorpha),859,YNR1
Q8WPJ2,Q8WPJ2,reviewed,MANA_MYTED,"Mannan endo-1,4-beta-mannosidase (EC 3.2.1.78) (Beta-mannanase) (Endo-beta-1,4-mannanase) (Man5A) (ManA)",,Mytilus edulis (Blue mussel),367,
P00952,P00952,reviewed,SYY_GEOSE,Tyrosine--tRNA ligase (EC 6.1.1.1) (Tyrosyl-tRNA synthetase) (TyrRS) (TyrTS),tyrS,Geobacillus stearothermophilus (Bacillus stearothermophilus),419,tyrS
P13448,P13448,reviewed,NHAA_RHOER,Nitrile hydratase subunit alpha (NHase) (Nitrilase) (EC 4.2.1.84),nthA,Rhodococcus erythropolis (Arthrobacter picolinophilus),207,nthA
P49053,P49053,reviewed,PRXC_CURIN,Vanadium chloroperoxidase (EC 1.11.1.10) (Vanadium chloride peroxidase) (VCPO),CPO,Curvularia inaequalis,609,CPO
O74933,O74933,reviewed,UAP1_CANAX,UDP-N-acetylglucosamine pyrophosphorylase (EC 2.7.7.23),UAP1,Candida albicans (Yeast),486,UAP1
Q15418,Q15418,reviewed,KS6A1_HUMAN,Ribosomal protein S6 kinase alpha-1 (S6K-alpha-1) (EC 2.7.11.1) (90 kDa ribosomal protein S6 kinase 1) (p90-RSK 1) (p90RSK1) (p90S6K) (MAP kinase-activated protein kinase 1a) (MAPK-activated protein kinase 1a) (MAPKAP kinase 1a) (MAPKAPK-1a) (Ribosomal S6 kinase 1) (RSK-1),RPS6KA1 MAPKAPK1A RSK1,Homo sapiens (Human),735,RPS6KA1
O00763,O00763,reviewed,ACACB_HUMAN,Acetyl-CoA carboxylase 2 (EC 6.4.1.2) (ACC-beta),ACACB ACC2 ACCB,Homo sapiens (Human),2458,ACACB
P77150,P77150,reviewed,PDXY_ECOLI,Pyridoxal kinase PdxY (PL kinase) (EC 2.7.1.35) (Pyridoxal kinase 2) (PL kinase 2),pdxY ydgS b1636 JW1628,Escherichia coli (strain K12),287,pdxY
P70998,P70998,reviewed,SPEE_BACSU,Polyamine aminopropyltransferase (Putrescine aminopropyltransferase) (PAPT) (Spermidine synthase) (SPDS) (SPDSY) (EC 2.5.1.16),speE ywhF BSU37500,Bacillus subtilis (strain 168),276,speE
Q8BH64,Q8BH64,reviewed,EHD2_MOUSE,EH domain-containing protein 2,Ehd2,Mus musculus (Mouse),543,Ehd2
PPARG_HUMAN,P37231,reviewed,PPARG_HUMAN,Peroxisome proliferator-activated receptor gamma (PPAR-gamma) (Nuclear receptor subfamily 1 group C member 3),PPARG NR1C3,Homo sapiens (Human),505,PPARG
Q837V6,Q837V6,reviewed,DNLJ_ENTFA,DNA ligase (EC 6.5.1.2) (Polydeoxyribonucleotide synthase [NAD(+)]),ligA EF_0722,Enterococcus faecalis (strain ATCC 700802 / V583),676,ligA
ULA1_HUMAN,Q13564,reviewed,ULA1_HUMAN,"NEDD8-activating enzyme E1 regulatory subunit (Amyloid beta precursor protein-binding protein 1, 59 kDa) (APP-BP1) (Amyloid protein-binding protein 1) (Proto-oncogene protein 1)",NAE1 APPBP1 HPP1,Homo sapiens (Human),534,NAE1
Q44185,Q44185,reviewed,DCAS_RHIRD,N-carbamoyl-D-amino acid hydrolase (EC 3.5.1.77) (D-N-alpha-carbamilase),,Rhizobium radiobacter (Agrobacterium tumefaciens) (Agrobacterium radiobacter),304,
Q87WW0,Q87WW0,reviewed,CYSD_PSESM,Sulfate adenylyltransferase subunit 2 (EC 2.7.7.4) (ATP-sulfurylase small subunit) (Sulfate adenylate transferase) (SAT),cysD PSPTO_4433,Pseudomonas syringae pv. tomato (strain ATCC BAA-871 / DC3000),305,cysD
Q9T0N8,Q9T0N8,reviewed,CKX1_MAIZE,Cytokinin dehydrogenase 1 (EC 1.5.99.12) (Cytokinin oxidase 1) (CKO 1) (COX 1) (ZmCKX1),CKX1,Zea mays (Maize),534,CKX1
P61218,P61218,reviewed,RPAB2_HUMAN,"DNA-directed RNA polymerases I, II, and III subunit RPABC2 (RNA polymerases I, II, and III subunit ABC2) (DNA-directed RNA polymerase II subunit F) (DNA-directed RNA polymerases I, II, and III 14.4 kDa polypeptide) (RPABC14.4) (RPB14.4) (RPB6 homolog) (RPC15)",POLR2F POLRF,Homo sapiens (Human),127,POLR2F
Q04571,Q04571,reviewed,RODL_NEUCR,Hydrophobin (Blue light-induced protein 7) (Clock-controlled gene protein 2) (Rodlet protein),eas bli-7 ccg-2 NCU08457,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),108,eas
O07347,O07347,reviewed,SRP54_THEAQ,Signal recognition particle protein (EC 3.6.5.4) (Fifty-four homolog),ffh,Thermus aquaticus,430,ffh
P18910,P18910,reviewed,ANPRA_RAT,Atrial natriuretic peptide receptor 1 (EC 4.6.1.2) (Atrial natriuretic peptide receptor type A) (ANP-A) (ANPR-A) (NPR-A) (Guanylate cyclase A) (GC-A),Npr1,Rattus norvegicus (Rat),1057,Npr1
P02829,P02829,reviewed,HSP82_YEAST,ATP-dependent molecular chaperone HSP82 (82 kDa heat shock protein) (Heat shock protein Hsp90 heat-inducible isoform),HSP82 HSP90 YPL240C,Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast),709,HSP82
P07464,P07464,reviewed,THGA_ECOLI,Galactoside O-acetyltransferase (GAT) (EC 2.3.1.18) (Acetyl-CoA:galactoside 6-O-acetyltransferase) (Thiogalactoside acetyltransferase) (Thiogalactoside transacetylase),lacA b0342 JW0333,Escherichia coli (strain K12),203,lacA
P96885,P9WQH6,reviewed,ACCD5_MYCTO,Biotin-dependent acetyl-/propionyl-coenzyme A carboxylase beta5 subunit (Acetyl-CoA carboxylase) (ACC) (EC 2.1.3.15) (Propionyl-CoA carboxylase) (PCC) (EC 2.1.3.-),accD5 pccB MT3379.1,Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh),548,accD5
P96885,P9WQH7,reviewed,ACCD5_MYCTU,Biotin-dependent acetyl-/propionyl-coenzyme A carboxylase beta5 subunit (Acetyl-CoA carboxylase) (ACC) (EC 2.1.3.15) (Propionyl-CoA carboxylase) (PCC) (EC 2.1.3.-),accD5 pccB Rv3280 MTCY71.20,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),548,accD5
P83700,P83700,reviewed,ISPE_THET8,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (CMK) (EC 2.7.1.148) (4-(cytidine-5'-diphospho)-2-C-methyl-D-erythritol kinase),ispE TTHA0170,Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8),275,ispE
P06722,P06722,reviewed,MUTH_ECOLI,DNA mismatch repair protein MutH (Methyl-directed mismatch repair protein),mutH mutR prv b2831 JW2799,Escherichia coli (strain K12),229,mutH
Q16566,Q16566,reviewed,KCC4_HUMAN,Calcium/calmodulin-dependent protein kinase type IV (CaMK IV) (EC 2.7.11.17) (CaM kinase-GR),CAMK4 CAMK CAMK-GR CAMKIV,Homo sapiens (Human),473,CAMK4
P04693,P04693,reviewed,TYRB_ECOLI,Aromatic-amino-acid aminotransferase (ARAT) (AROAT) (EC 2.6.1.57) (Beta-methylphenylalanine transaminase) (EC 2.6.1.107),tyrB b4054 JW4014,Escherichia coli (strain K12),397,tyrB
P18548,P18548,reviewed,CEFE_STRCL,Deacetoxycephalosporin C synthase (DAOCS) (EC 1.14.20.1) (Expandase),cefE,Streptomyces clavuligerus,311,cefE
P33517,P33517,reviewed,COX1_CERSP,Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Cytochrome aa3 subunit 1) (Cytochrome c oxidase polypeptide I),ctaD,Cereibacter sphaeroides (Rhodobacter sphaeroides),566,ctaD
B3GA2_HUMAN,Q9NPZ5,reviewed,B3GA2_HUMAN,"Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 2 (EC 2.4.1.135) (Beta-1,3-glucuronyltransferase 2) (GlcAT-D) (UDP-glucuronosyltransferase S) (GlcAT-S) (Glucuronosyltransferase S)",B3GAT2 GLCATS KIAA1963,Homo sapiens (Human),323,B3GAT2
P52934,P52934,reviewed,SP0A_GEOSE,Stage 0 sporulation protein A,spo0A,Geobacillus stearothermophilus (Bacillus stearothermophilus),259,spo0A
ANXA3_HUMAN,P12429,reviewed,ANXA3_HUMAN,"Annexin A3 (35-alpha calcimedin) (Annexin III) (Annexin-3) (Inositol 1,2-cyclic phosphate 2-phosphohydrolase) (Lipocortin III) (Placental anticoagulant protein III) (PAP-III)",ANXA3 ANX3,Homo sapiens (Human),323,ANXA3
Q86SR1,Q86SR1,reviewed,GLT10_HUMAN,Polypeptide N-acetylgalactosaminyltransferase 10 (EC 2.4.1.41) (Polypeptide GalNAc transferase 10) (GalNAc-T10) (pp-GaNTase 10) (Protein-UDP acetylgalactosaminyltransferase 10) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 10),GALNT10,Homo sapiens (Human),603,GALNT10
P19869,E8ME30,reviewed,LDH2_BIFL2,L-lactate dehydrogenase 2 (L-LDH 2) (EC 1.1.1.27) (FBP-dependent LDH),ldh2 BLLJ_1290,Bifidobacterium longum subsp. longum (strain ATCC 15707 / DSM 20219 / JCM 1217 / NCTC 11818 / E194b),320,ldh2
P19869,P0CW93,reviewed,LDH2_BIFLO,L-lactate dehydrogenase 2 (L-LDH 2) (EC 1.1.1.27),ldh2 ldh BL1308,Bifidobacterium longum (strain NCC 2705),320,ldh2
P30043,P30043,reviewed,BLVRB_HUMAN,Flavin reductase (NADPH) (FR) (EC 1.5.1.30) (Biliverdin reductase B) (BVR-B) (EC 1.3.1.-) (Biliverdin-IX beta-reductase) (Green heme-binding protein) (GHBP) (NADPH-dependent diaphorase) (NADPH-flavin reductase) (FLR) (S-nitroso-CoA-assisted nitrosyltransferase) (SNO-CoA-assisted nitrosyltransferase) (EC 2.6.99.-),BLVRB FLR SCAN,Homo sapiens (Human),206,BLVRB
FKBA_ECOLI,P45523,reviewed,FKBA_ECOLI,FKBP-type peptidyl-prolyl cis-trans isomerase FkpA (PPIase) (EC 5.2.1.8) (Rotamase),fkpA yzzS b3347 JW3309,Escherichia coli (strain K12),270,fkpA
O09171,O09171,reviewed,BHMT1_RAT,Betaine--homocysteine S-methyltransferase 1 (EC 2.1.1.5),Bhmt,Rattus norvegicus (Rat),407,Bhmt
P54317,P54317,reviewed,LIPR2_HUMAN,Pancreatic lipase-related protein 2 (PL-RP2) (Cytotoxic T lymphocyte lipase) (Galactolipase) (EC 3.1.1.26) (Triacylglycerol lipase) (EC 3.1.1.3),PNLIPRP2 PLRP2,Homo sapiens (Human),469,PNLIPRP2
Q9V3D4,Q9V3D4,reviewed,IDGF2_DROME,Chitinase-like protein Idgf2 (Imaginal disk growth factor protein 2),Idgf2 CG4475,Drosophila melanogaster (Fruit fly),440,Idgf2
P12943,P12943,reviewed,PHNS_MEGGA,Periplasmic [NiFe] hydrogenase small subunit (EC 1.12.2.1) (NiFe hydrogenlyase small chain),hydA,Megalodesulfovibrio gigas (Desulfovibrio gigas),288,hydA
Q57837,Q57837,reviewed,Y392_METJA,Zinc metalloprotease MJ0392 (EC 3.4.24.-) (MjS2P) (S2P endopeptidase) (Site-2-type intramembrane protease),MJ0392,Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii),339,MJ0392
NAT_MYCSM,O86309,reviewed,NAT_MYCSM,Arylamine N-acetyltransferase (NAT) (EC 2.3.1.5),nat,Mycolicibacterium smegmatis (Mycobacterium smegmatis),275,nat
Q9QZM2,Q9QZM2,reviewed,DPOG2_MOUSE,DNA polymerase subunit gamma-2 (DNA polymerase gamma accessory 55 kDa subunit) (p55) (Mitochondrial DNA polymerase accessory subunit) (MtPolB) (PolG-beta),Polg2 Mtpolb,Mus musculus (Mouse),459,Polg2
