Pharma Model,Num Feature,Fit,Norm Fit,Num Hydrophobic,Num HB Acceptor,Num HB Donor,Num Positive,Num Negative,Num Aromatic,Name,Class,Uniplot,Function,Disease
1fg9_E_cavity_1,13,3.867,0.2974,5,2,3,3,0,0,Interferon-gamma receptor alpha chain,IMMUNE SYSTEM,INGR1_HUMAN,Receptor for interferon gamma. Two receptors bind one interferon gamma dimer.,"Defects in IFNGR1 are a cause of mendelian susceptibility to mycobacterial disease (MSMD) [MIM:209950]; also known as familial disseminated atypical mycobacterial infection. This rare condition confers predisposition to illness caused by moderately virulent mycobacterial species, such as Bacillus Calmette-Guerin (BCG) vaccine and environmental non-tuberculous mycobacteria, and by the more virulent Mycobacterium tuberculosis. Other microorganisms rarely cause severe clinical disease in individuals with susceptibility to mycobacterial infections, with the exception of Salmonella which infects less than 50% of these individuals. The pathogenic mechanism underlying MSMD is the impairment of interferon-gamma mediated immunity whose severity determines the clinical outcome. Some patients die of overwhelming mycobacterial disease with lepromatous-like lesions in early childhood, whereas others develop, later in life, disseminated but curable infections with tuberculoid granulomas. MSMD is a genetically heterogeneous disease with autosomal recessive, autosomal dominant or X-linked inheritance."
1xx4_A_cavity_1,9,2.674,0.2971,8,0,1,0,0,0,"3,2-trans-enoyl-CoA isomerase, mitochondrial",NONE,P23965,Lipid transport and metabolism,NONE
1o95_A_cavity_4,8,2.37,0.2963,3,2,1,2,0,0,Trimethylamine dehydrogenase,NONE,P16099,Involved in catalytic activity,NONE
1exv_A_cavity_2,9,2.663,0.2959,5,0,2,1,1,0,"Glycogen phosphorylase, liver form",NONE,P06737,Carbohydrate transport and metabolism,NONE
2q8f_A_cavity_3,10,2.958,0.2958,3,3,2,1,1,0,"[Pyruvate dehydrogenase [lipoamide]] kinase isozyme 1, mitochondrial",TRANSFERASE,PDK1_HUMAN,"Inhibits the mitochondrial pyruvate dehydrogenase complex by phosphorylation of the E1 alpha subunit, thus contributing to the regulation of glucose metabolism.",NONE
1z90_A_cavity_3,10,2.948,0.2948,6,1,3,0,0,0,Probable UTP--glucose-1-phosphate uridylyltransferase 2,NONE,Q9M9P3,NONE,NONE
1v18_B_cavity_1,8,2.359,0.2948,5,1,2,0,0,0,Adenomatous polyposis coli protein,SIGNALLING COMPLEX,APC_HUMAN,Tumor suppressor. Promotes rapid degradation of CTNNB1 and participates in Wnt signaling as a negative regulator. APC activity is correlated with its phosphorylation state.,"Defects in APC are a cause of familial adenomatous polyposis (FAP) [MIM:175100]; which includes also Gardner syndrome (GS). FAP and GS contribute to tumor development in patients with uninherited forms of colorectal cancer. FAP is characterized by adenomatous polyps of the colon and rectum, but also of upper gastrointestinal tract (ampullary, duodenal and gastric adenomas). This is a viciously premalignant disease with one or more polyps progressing through dysplasia to malignancy in untreated gene carriers with a median age at diagnosis of 40 years.;APC mutations have led to some interesting observations. (1) the great majority of the mutations found to date would result in truncation of the APC product. (2) almost all the mutations have occurred within the first half of the coding sequence, and somatic mutations in colorectal tumors are further clustered in a particular region, called MCR (mutation cluster region). (3) most identified point mutations in the APC gene are transitions from cytosine to other nucleotides. (4) the location of germline mutations tends to correlate with the number of colorectal polyps in FAP patients. Inactivation of both alleles of the APC gene seems to be required as an early event to develop most adenomas and carcinomas in the colon and rectum as well as some of those in the stomach.;Defects in APC are a cause of hereditary desmoid disease (HDD) [MIM:135290]; also called familial infiltrative fibromatosis (FIF). It is an autosomal dominant trait with 100% penetrance and possible variable expression among affected relatives. HDD patients show multifocal fibromatosis of the paraspinal muscles, breast, occiput, arms, lower ribs, abdominal wall, and mesentery. Desmoid tumors appears also as a complication of familial adenomatous polyposis.;Defects in APC are a cause of medulloblastoma (MDB) [MIM:155255]. MDB is a malignant, invasive embryonal tumor of the cerebellum with a preferential manifestation in children. Although the majority of medulloblastomas occur sporadically, some manifest within familial cancer syndromes such as Turcot syndrome and basal cell nevus syndrome (Gorlin syndrome).;Defects in APC are a cause of Turcot syndrome [MIM:276300]. Turcot syndrome is an autosomal dominant disorder characterized by malignant tumors of the brain associated with multiple colorectal adenomas. Skin features include sebaceous cysts, hyperpigmented and cafe au lait spots."
1zt7_C_cavity_2,9,2.651,0.2946,4,3,1,0,1,0,"H-2 class I histocompatibility antigen, K-K alpha chain",NONE,P04223,NONE,NONE
2oad_B_cavity_1,10,2.943,0.2943,4,3,1,0,2,0,Glutathione S-transferase P 1,NONE,P19157,Involved in glutathione transferase activity,NONE
2frs_A_cavity_1,9,2.647,0.2941,5,2,1,0,1,0,Cellular retinoic acid-binding protein 2,NONE,P29373,Involved in retinoid binding,NONE
2f4m_A_cavity_2,9,2.643,0.2937,5,0,4,0,0,0,Peptide-N(4)-(N-acetyl-beta-glucosaminyl)asparagine amidase,NONE,Q9JI78,NONE,NONE
1iq3_A_cavity_2,9,2.64,0.2934,6,2,1,0,0,0,RalBP1-associated Eps domain-containing protein 2,NONE,Q8NFH8,NONE,NONE
1uhi_B_cavity_1,10,2.929,0.2929,5,1,2,0,2,0,Aequorin-2,NONE,P02592,Involved in calcium ion binding,NONE
1bj1_H_cavity_2,10,2.925,0.2925,5,2,2,1,0,0,Vascular endothelial growth factor A,COMPLEX (ANTIBODY/ANTIGEN),VEGFA_HUMAN,"Growth factor active in angiogenesis, vasculogenesis and endothelial cell growth. Induces endothelial cell proliferation, promotes cell migration, inhibits apoptosis, and induces permeabilization of blood vessels. Binds to the VEGFR1/Flt-1 and VEGFR2/Kdr",NONE
2cfo_B_cavity_1,9,2.63,0.2922,4,4,1,0,0,0,Glutamyl-tRNA synthetase,NONE,Q8DLI5,NONE,NONE
1gtu_C_cavity_1,9,2.627,0.2919,5,1,2,0,1,0,Glutathione S-transferase Mu 1,TRANSFERASE,GSTM1_HUMAN,Conjugation of reduced glutathione to a wide number of exogenous and endogenous hydrophobic electrophiles.,NONE
2plm_A_cavity_1,10,2.918,0.2918,5,1,2,1,1,0,5-methylthioadenosine/S-adenosylhomocysteine deaminase,NONE,Q9X034,NONE,NONE
1knz_N_cavity_1,11,3.208,0.2916,7,4,0,0,0,0,Non-structural protein 3,NONE,P03536,NONE,NONE
2dnw_A_cavity_2,9,2.624,0.2916,5,1,3,0,0,0,"Acyl carrier protein, mitochondrial",NONE,O14561,NONE,NONE
1zq7_A_cavity_1,10,2.915,0.2915,5,2,1,1,1,0,Protein MM_0484,NONE,Q8PZK8,NONE,NONE
2rgv_A_cavity_1,17,4.954,0.2914,8,2,3,4,0,0,Peroxide operon regulator,NONE,P71086,NONE,NONE
2qtv_A_cavity_3,10,2.914,0.2914,5,1,2,2,0,0,Protein transport protein SEC23,NONE,P15303,NONE,NONE
2k8v_A_cavity_1,10,2.913,0.2913,8,2,0,0,0,0,Thioredoxin domain-containing protein 12,NONE,O95881,Possesses significant protein thiol-disulfide oxidase activity,NONE
2wa0_A_cavity_3,13,3.779,0.2907,7,0,3,0,3,0,Melanoma-associated antigen 4,NONE,P43358,NONE,NONE
2be1_B_cavity_1,8,2.326,0.2907,6,1,1,0,0,0,Serine/threonine-protein kinase/endoribonuclease IRE1,NONE,P32361,Senses unfolded proteins in the lumen of the endoplasmic reticulum via its N-terminal domain which leads to enzyme auto-activation. The active endoribonuclease domain splices HAC1 precursor mRNA to produce the mature form which then induces transcription of UPR target genes.,NONE
1u3w_B_cavity_1,16,4.644,0.2903,7,1,4,1,3,0,Alcohol dehydrogenase 1C,NONE,P00326,Energy production and conversion,NONE
1aj7_H_cavity_1,10,2.902,0.2902,6,0,3,1,0,0,Ig gamma-1 chain C region,NONE,P01857,NONE,NONE
2r7k_A_cavity_2,9,2.611,0.2901,5,1,2,1,0,0,5-formaminoimidazole-4-carboxamide-1-(beta)-D-ribofuranosyl 5-monophosphate synthetase,NONE,Q57600,NONE,NONE
3fm3_B_cavity_1,10,2.9,0.29,3,1,2,2,2,0,Methionine aminopeptidase 2,NONE,Q8SR45,NONE,NONE
1r2j_A_cavity_2,9,2.606,0.2896,6,2,1,0,0,0,FkbI,NONE,Q9KIE5,Involved in acyl-CoA dehydrogenase activity,NONE
2gbz_A_cavity_2,9,2.602,0.2892,7,0,2,0,0,0,Oligoribonuclease,NONE,Q8P8S1,NONE,NONE
2nvl_E_cavity_1,10,2.89,0.289,4,2,2,1,1,0,Probable peroxiredoxin,NONE,Q9Y9L0,Involved in antioxidant activity,NONE
1duw_A_cavity_1,10,2.889,0.2889,7,1,1,1,0,0,Nonaheme cytochrome c,NONE,Q9XCU0,Involved in iron ion binding,NONE
1r30_B_cavity_1,9,2.6,0.2889,5,1,2,1,0,0,Biotin synthase,NONE,P12996,Coenzyme transport and metabolism,NONE
1yzh_A_cavity_1,10,2.887,0.2887,3,1,4,2,0,0,tRNA (guanine-N(7)-)-methyltransferase,NONE,P67506,NONE,NONE
3cu7_A_cavity_1,9,2.598,0.2886,5,1,2,1,0,0,Complement C5,NONE,P01031,Involved in endopeptidase inhibitor activity,NONE
1j9l_A_cavity_2,9,2.597,0.2886,5,2,1,1,0,0,5-nucleotidase surE,NONE,P96112,NONE,NONE
1y1u_A_cavity_2,10,2.885,0.2885,5,2,3,0,0,0,Signal transducer and activator of transcription 5A,NONE,P42230,NONE,NONE
1l5j_B_cavity_3,10,2.885,0.2885,4,2,3,1,0,0,Aconitate hydratase 2,NONE,P36683,Energy production and conversion,NONE
3e3l_B_cavity_1,10,2.884,0.2884,7,2,0,0,1,0,"Glycogen phosphorylase, muscle form",NONE,P00489,NONE,NONE
1nr3_A_cavity_1,9,2.595,0.2883,4,0,4,1,0,0,DNA-binding protein tfx,NONE,O27001,NONE,NONE
4bcl_A_cavity_3,9,2.594,0.2882,5,2,2,0,0,0,Bacteriochlorophyll a protein,NONE,P11741,Intermediary in the transfer of excitation energy from the chlorophyll to the reaction centers,NONE
1n97_A_cavity_1,9,2.594,0.2882,7,1,1,0,0,0,Cytochrome P450,NONE,Q746J6,Involved in monooxygenase activity,NONE
1lqo_A_cavity_1,10,2.879,0.2879,6,2,2,0,0,0,Glutathione transferase fosA,NONE,Q9I4K6,NONE,NONE
1vfr_B_cavity_1,12,3.453,0.2877,9,3,0,0,0,0,Major NAD(P)H-flavin oxidoreductase,NONE,P46072,Energy production and conversion,NONE
2glf_B_cavity_3,9,2.589,0.2877,6,2,1,0,0,0,Probable M18 family aminopeptidase 1,NONE,Q9WYJ9,NONE,NONE
2c6z_A_cavity_1,9,2.587,0.2874,5,2,2,0,0,0,"N(G),N(G)-dimethylarginine dimethylaminohydrolase 1",NONE,P56965,NONE,NONE
1h7w_D_cavity_2,29,8.33,0.2872,10,3,7,2,7,0,Dihydropyrimidine dehydrogenase [NADP+],NONE,Q28943,NONE,NONE
1vb6_B_cavity_2,10,2.872,0.2872,6,2,0,0,2,0,Heme-regulated cyclic AMP phosphodiesterase,NONE,P76129,Involved in signal transducer activity,NONE
2pzi_B_cavity_4,8,2.297,0.2872,4,1,3,0,0,0,Probable serine/threonine-protein kinase pknG,NONE,P65728,NONE,NONE
1go2_A_cavity_1,11,3.158,0.2871,7,3,1,0,0,0,Ferredoxin--NADP reductase,NONE,P21890,Involved in oxidoreductase activity,NONE
1c52_A_cavity_1,9,2.582,0.2869,6,2,0,0,1,0,Cytochrome c-552,NONE,P04164,Energy production and conversion,NONE
1t3a_A_cavity_1,10,2.868,0.2868,7,2,1,0,0,0,Botulinum neurotoxin type E,NONE,Q00496,NONE,NONE
3d7i_A_cavity_1,10,2.863,0.2863,7,1,1,1,0,0,Uncharacterized protein MJ0742,NONE,Q58152,NONE,NONE
1xhs_A_cavity_1,9,2.575,0.2862,6,2,1,0,0,0,UPF0131 protein ytfP,NONE,P0AE50,NONE,NONE
1rxs_A_cavity_1,10,2.854,0.2854,3,4,2,1,0,0,Uridine phosphorylase,NONE,P12758,Nucleotide transport and metabolism,NONE
2yub_A_cavity_1,10,2.846,0.2846,7,2,1,0,0,0,LIM domain kinase 2,NONE,O54785,NONE,NONE
2enj_A_cavity_1,10,2.846,0.2846,8,1,1,0,0,0,Protein kinase C theta type,TRANSFERASE,KPCT_HUMAN,"This is a calcium-independent, phospholipid-dependent, serine- and threonine-specific enzyme. Essential for T-cell receptor (TCR)-mediated T-cell activation, but is dispensable during TCR-dependent thymocyte development. Links the TCR signaling complex to;PKC is activated by diacylglycerol which in turn phosphorylates a range of cellular proteins. PKC also serves as the receptor for phorbol esters, a class of tumor promoters.",NONE
1bf2_A_cavity_3,10,2.845,0.2845,7,0,3,0,0,0,Isoamylase,NONE,P10342,NONE,NONE
1d7x_B_cavity_1,10,2.842,0.2842,4,1,3,0,2,0,Stromelysin-1,HYDROLASE,MMP3_HUMAN,"Can degrade fibronectin, laminin, gelatins of type I, III, IV, and V; collagens III, IV, X, and IX, and cartilage proteoglycans. Activates procollagenase.",NONE
2c35_C_cavity_1,10,2.841,0.2841,7,1,1,0,1,0,DNA-directed RNA polymerase II subunit RPB4,NONE,O15514,NONE,NONE
1odo_A_cavity_1,10,2.841,0.2841,7,1,1,0,1,0,Putative cytochrome P450,NONE,Q9KZR7,Involved in monooxygenase activity,NONE
2vcl_A_cavity_1,10,2.838,0.2838,6,2,1,1,0,0,Phycoerythrobilin synthase,NONE,Q58MU6,NONE,NONE
2bh2_A_cavity_2,10,2.835,0.2835,6,2,1,1,0,0,23S rRNA (uracil-5-)-methyltransferase rumA,NONE,P55135,NONE,NONE
2oii_B_cavity_1,10,2.834,0.2834,7,1,2,0,0,0,EMILIN-1,NONE,Q9Y6C2,NONE,NONE
1gz6_D_cavity_1,10,2.827,0.2827,7,0,3,0,0,0,Peroxisomal multifunctional enzyme type 2,NONE,P97852,NONE,NONE
3dls_E_cavity_3,10,2.827,0.2827,5,1,3,1,0,0,PAS domain-containing serine/threonine-protein kinase,NONE,Q96RG2,NONE,NONE
1s0u_A_cavity_1,10,2.826,0.2826,5,3,2,0,0,0,Translation initiation factor 2 subunit gamma,NONE,Q58657,NONE,NONE
2qzx_B_cavity_1,24,6.779,0.2825,8,2,6,7,1,0,Candidapepsin-5,NONE,P43094,NONE,NONE
2j0r_A_cavity_2,15,4.236,0.2824,4,3,3,2,3,0,Hemin transport protein hemS,NONE,P31517,NONE,NONE
1rkh_A_cavity_1,10,2.824,0.2824,6,1,1,0,2,0,Vitamin D3 receptor,NONE,P13053,NONE,NONE
1y6a_A_cavity_1,9,2.539,0.2822,7,1,1,0,0,0,Vascular endothelial growth factor receptor 2,TRANSFERASE,VGFR2_HUMAN,"Receptor for VEGF or VEGFC. Has a tyrosine-protein kinase activity. The VEGF-kinase ligand/receptor signaling system plays a key role in vascular development and regulation of vascular permeability. In case of HIV-1 infection, the interaction with extrace",NONE
1g0o_B_cavity_1,10,2.817,0.2817,5,2,3,0,0,0,Tetrahydroxynaphthalene reductase,NONE,Q12634,Lipid transport and metabolism,NONE
1whk_A_cavity_1,11,3.094,0.2813,8,2,1,0,0,0,CAP-Gly domain-containing linker protein 4,NONE,Q8CI96,NONE,NONE
1flk_A_cavity_1,10,2.811,0.2811,6,1,3,0,0,0,TNF receptor-associated factor 3,APOPTOSIS,TRAF3_HUMAN,Adapter protein and signal transducer that links members of the tumor necrosis factor receptor family to different signaling pathways by association with the receptor cytoplasmic domain and kinases. Seems to be involved in activation of NF- kappa-B and JN,NONE
1y64_B_cavity_2,8,2.248,0.281,6,1,0,0,1,0,"Actin, alpha skeletal muscle",NONE,P68135,NONE,NONE
2pmz_A_cavity_7,9,2.528,0.2809,7,1,1,0,0,0,DNA-directed RNA polymerase subunit A,NONE,Q980R2,NONE,NONE
2vsq_A_cavity_6,9,2.528,0.2809,5,0,2,2,0,0,Surfactin synthetase subunit 3,NONE,Q08787,NONE,NONE
1si8_C_cavity_2,10,2.805,0.2805,7,2,1,0,0,0,Catalase/peroxidase,NONE,Q834P5,Involved in catalase activity,NONE
1wbb_A_cavity_1,17,4.765,0.2803,7,2,4,4,0,0,DNA mismatch repair protein mutS,NONE,P23909,NONE,NONE
3bpq_B_cavity_1,10,2.803,0.2803,8,1,1,0,0,0,Uncharacterized protein MJ1103,NONE,Q58503,NONE,NONE
1w07_B_cavity_6,9,2.521,0.2801,5,1,2,0,1,0,"Acyl-coenzyme A oxidase 1, peroxisomal",NONE,O65202,Involved in acyl-CoA oxidase activity,NONE
1z7d_E_cavity_2,13,3.638,0.2798,8,1,3,1,0,0,Ornithine aminotransferase,NONE,Q7RT90,NONE,NONE
2zdi_C_cavity_1,10,2.796,0.2796,7,1,2,0,0,0,Prefoldin subunit beta,NONE,O58268,NONE,NONE
2jgd_A_cavity_3,9,2.516,0.2795,5,2,1,0,1,0,2-oxoglutarate dehydrogenase E1 component,NONE,P0AFG3,NONE,NONE
2pzd_B_cavity_1,10,2.789,0.2789,7,1,2,0,0,0,"Serine protease HTRA2, mitochondrial",HYDROLASE,HTRA2_HUMAN,"Serine protease that shows proteolytic activity against a non-specific substrate beta-casein. Promotes or induces cell death either by direct binding to and inhibition of BIRC proteins (also called inhibitor of apoptosis proteins, IAPs), leading to an inc","Defects in HTRA2 are the cause of Parkinson disease type 13 (PARK13) [MIM:610297, 168600]. Parkinson disease (PD) is a complex, multifactorial disorder that typically manifests after the age of 50 years, although early-onset cases (before 50 years) are known. PD generally arises as a sporadic condition but is occasionally inherited as a simple mendelian trait. Although sporadic and familial PD are very similar, inherited forms of the disease usually begin at earlier ages and are associated with atypical clinical features. PD is characterized by bradykinesia, resting tremor, muscular rigidity and postural instability, as well as by a clinically significant response to treatment with levodopa. The pathology involves the loss of dopaminergic neurons in the substantia nigra and the presence of Lewy bodies (intraneuronal accumulations of aggregated proteins), in surviving neurons in various areas of the brain."
1ybm_B_cavity_1,9,2.51,0.2789,6,2,1,0,0,0,Uncharacterized protein At5g02240,NONE,Q94EG6,Involved in catalytic activity,NONE
1uj3_B_cavity_1,10,2.788,0.2788,7,1,1,1,0,0,Tissue factor,IMMUNE SYSTEM/BLOOD CLOTTING,TF_HUMAN,Initiates blood coagulation by forming a complex with circulating factor VII or VIIa. The [TF:VIIa] complex activates factors IX or X by specific limited protolysis. TF plays a role in normal hemostasis by initiating the cell-surface assembly and propagat,NONE
2f6r_A_cavity_1,20,5.57,0.2785,7,3,4,5,1,0,Bifunctional coenzyme A synthase,NONE,Q9DBL7,NONE,NONE
2a14_A_cavity_1,9,2.506,0.2784,4,1,2,1,1,0,Indolethylamine N-methyltransferase,NONE,O95050,NONE,NONE
2qgh_A_cavity_1,9,2.502,0.278,4,2,1,1,1,0,Diaminopimelate decarboxylase,NONE,P56129,NONE,NONE
2nuu_A_cavity_1,12,3.334,0.2778,7,2,2,1,0,0,Ammonia channel,NONE,P69681,Inorganic ion transport and metabolism,NONE
1shz_A_cavity_1,13,3.606,0.2774,9,3,1,0,0,0,Rho guanine nucleotide exchange factor 1,SIGNALING PROTEIN,ARHG1_HUMAN,"Seems to play a role in the regulation of RhoA GTPase by guanine nucleotide-binding alpha-12 (GNA12) and alpha-13 (GNA13) subunits. Acts as GTPase-activating protein (GAP) for GNA12 and GNA13, and as guanine nucleotide exchange factor (GEF) for RhoA GTPas",NONE
2k7i_B_cavity_1,9,2.496,0.2774,8,1,0,0,0,0,UPF0339 protein Atu0232,NONE,Q8UIR1,NONE,NONE
2vag_A_cavity_3,9,2.496,0.2773,4,1,2,2,0,0,Dual specificity protein kinase CLK1,TRANSFERASE,CLK1_HUMAN,"Phosphorylates serine- and arginine-rich (SR) proteins of the spliceosomal complex may be a constituent of a network of regulatory mechanisms that enable SR proteins to control RNA splicing. Phosphorylates serines, threonines and tyrosines (By similarity)",NONE
1y4j_A_cavity_1,8,2.217,0.2771,4,2,1,1,0,0,Sulfatase-modifying factor 2,NONE,Q8NBJ7,Seems to lack formyl-glycine generating activity and to be unable to convert newly synthesized inactive sulfatases to their active form by modifying an active site cysteine residue to 3-oxoalanine. Overexpression of SUMF2 inhibits the activation of sulfatases by SUMF1,NONE
2zii_C_cavity_1,10,2.768,0.2768,8,1,1,0,0,0,Vacuolar protein sorting-associated protein 74,NONE,Q06385,NONE,NONE
1pgw_1_cavity_1,10,2.767,0.2767,5,2,3,0,0,0,RNA2 polyprotein,NONE,P23009,NONE,NONE
2z8y_N_cavity_2,10,2.767,0.2767,5,2,2,1,0,0,Carbon monoxide dehydrogenase/acetyl-CoA synthase subunit beta,NONE,P27989,NONE,NONE
2id4_B_cavity_3,9,2.485,0.2762,4,2,1,0,2,0,Kexin,NONE,P13134,NONE,NONE
2cmw_A_cavity_3,13,3.588,0.276,4,2,2,5,0,0,Casein kinase I isoform gamma-1,TRANSFERASE,KC1G1_HUMAN,Casein kinases are operationally defined by their preferential utilization of acidic proteins such as caseins as substrates. It can phosphorylate a large number of proteins. Participates in Wnt signaling (By similarity).,NONE
3edh_A_cavity_1,10,2.755,0.2755,5,3,1,0,1,0,Bone morphogenetic protein 1,NONE,P13497,NONE,NONE
2jfm_A_cavity_1,12,3.305,0.2754,9,1,2,0,0,0,STE20-like serine/threonine-protein kinase,NONE,Q9H2G2,NONE,NONE
1shw_B_cavity_1,10,2.754,0.2754,5,3,2,0,0,0,Ephrin-A5,NONE,O08543,NONE,NONE
1rpa_A_cavity_2,10,2.752,0.2752,6,1,2,1,0,0,Prostatic acid phosphatase,NONE,P20646,Involved in acid phosphatase activity,NONE
1pie_A_cavity_2,8,2.202,0.2752,4,0,4,0,0,0,Galactokinase,NONE,Q9R7D7,NONE,NONE
1ni5_A_cavity_2,10,2.749,0.2749,6,2,2,0,0,0,tRNA(Ile)-lysidine synthase,NONE,P52097,NONE,NONE
1rxq_D_cavity_1,10,2.749,0.2749,4,1,2,1,2,0,Putative metal-dependent hydrolase yfiT,NONE,O31562,NONE,NONE
1orr_A_cavity_1,13,3.572,0.2748,5,3,2,3,0,0,CDP-paratose 2-epimerase,NONE,P14169,Cell wall/membrane/envelope biogenesis,NONE
1sdd_A_cavity_1,10,2.748,0.2748,7,2,1,0,0,0,Coagulation factor V,NONE,Q28107,NONE,NONE
3edi_A_cavity_1,10,2.747,0.2747,5,1,3,0,1,0,Tolloid-like protein 1,NONE,O43897,NONE,NONE
2a85_A_cavity_1,13,3.57,0.2746,7,3,1,0,2,0,Peroxisomal (S)-2-hydroxy-acid oxidase,NONE,P05414,Energy production and conversion,NONE
2agm_A_cavity_1,10,2.744,0.2744,7,1,2,0,0,0,Poly(beta-D-mannuronate) C5 epimerase 4,NONE,Q44493,NONE,NONE
1tqh_A_cavity_1,10,2.743,0.2743,5,1,3,1,0,0,Carboxylesterase,NONE,Q06174,"Involved in hydrolase activity, acting on ester bonds",NONE
3c6g_B_cavity_2,10,2.739,0.2739,8,1,1,0,0,0,Vitamin D 25-hydroxylase,OXIDOREDUCTASE,CP2R1_HUMAN,"Has a D-25-hydroxylase activity on both forms of vitamin D, vitamin D(2) and D(3).","Defects in CYP2R1 are a cause of 25-hydroxyvitamin D(3) deficiency [MIM:600081]; also known as pseudovitamin D(3) deficiency rickets due to 25-hydroxylase deficiency. First described in patients who had rickets at a young age despite a history of adequate vitamin D intake. The patients sera had low calcium concentrations, low phosphate concentrations, elevated alkaline phosphatase activity, and low levels of 25-hydroxyvitamin D."
1dnv_A_cavity_1,9,2.465,0.2739,7,1,0,0,1,0,Coat protein VP1/VP2/VP3/VP4,NONE,Q90125,NONE,NONE
1p7z_D_cavity_2,10,2.737,0.2737,8,0,1,0,1,0,Catalase HPII,NONE,P21179,Inorganic ion transport and metabolism,NONE
2cnd_A_cavity_2,10,2.735,0.2735,7,1,2,0,0,0,Nitrate reductase [NADH],NONE,P17571,Involved in heme binding,NONE
2hmv_B_cavity_1,8,2.186,0.2733,7,1,0,0,0,0,Ktr system potassium uptake protein A,NONE,O32080,NONE,NONE
1n5w_C_cavity_2,10,2.731,0.2731,5,3,1,1,0,0,Carbon monoxide dehydrogenase small chain,NONE,P19921,NONE,NONE
1sh9_B_cavity_1,9,2.453,0.2725,5,2,2,0,0,0,Gag-Pol polyprotein,NONE,P03367,"Gag-Pol polyprotein and Gag polyprotein may regulate their own translation, by the binding genomic RNA in the 5'-UTR. At low concentration, Gag-Pol and Gag would promote translation, whereas at high concentration, the polyproteins encapsidate genomic RNA and then shutt off translation (By similarity).",NONE
3eht_A_cavity_3,14,3.809,0.2721,6,2,3,0,3,0,Maltose-binding periplasmic protein,NONE,P0AEX9,Carbohydrate transport and metabolism,NONE
1asy_A_cavity_3,9,2.449,0.2721,6,0,2,1,0,0,"Aspartyl-tRNA synthetase, cytoplasmic",NONE,P04802,NONE,NONE
2qpp_B_cavity_1,10,2.714,0.2714,7,0,2,0,1,0,Heme oxygenase 2,OXIDOREDUCTASE,HMOX2_HUMAN,"Heme oxygenase cleaves the heme ring at the alpha methene bridge to form biliverdin. Biliverdin is subsequently converted to bilirubin by biliverdin reductase. Under physiological conditions, the activity of heme oxygenase is highest in the spleen, where",NONE
3ftd_A_cavity_1,9,2.443,0.2714,5,1,2,1,0,0,Dimethyladenosine transferase,NONE,O67680,NONE,NONE
1kn9_B_cavity_1,8,2.171,0.2714,6,2,0,0,0,0,Signal peptidase I,NONE,P00803,"Intracellular trafficking, secretion, and vesicular transport",NONE
2fug_M_cavity_2,10,2.713,0.2713,6,1,2,1,0,0,NADH-quinone oxidoreductase subunit 1,NONE,Q56222,NONE,NONE
1cwu_B_cavity_2,10,2.71,0.271,6,1,3,0,0,0,"Enoyl-[acyl-carrier-protein] reductase [NADH], chloroplastic",NONE,P80030,Involved in oxidoreductase activity,NONE
2ebd_B_cavity_1,10,2.703,0.2703,6,2,2,0,0,0,3-oxoacyl-[acyl-carrier-protein] synthase 3,NONE,O67185,NONE,NONE
1bii_A_cavity_1,10,2.699,0.2699,7,1,2,0,0,0,"H-2 class I histocompatibility antigen, D-D alpha chain",NONE,P01900,NONE,NONE
1hlb_A_cavity_3,11,2.967,0.2697,10,1,0,0,0,0,"Globin C, coelomic",NONE,P80018,NONE,NONE
2w4l_B_cavity_2,10,2.696,0.2696,7,1,2,0,0,0,Deoxycytidylate deaminase,NONE,P32321,NONE,NONE
1onq_C_cavity_2,11,2.963,0.2694,10,1,0,0,0,0,T-cell surface glycoprotein CD1a,IMMUNE SYSTEM,CD1A_HUMAN,Antigen-presenting protein that binds self and non-self lipid and glycolipid antigens and presents them to T-cell receptors on natural killer T-cells.,NONE
1uhd_A_cavity_1,10,2.693,0.2693,6,1,3,0,0,0,Aspartate 1-decarboxylase,NONE,P56065,NONE,NONE
2ri0_B_cavity_1,10,2.69,0.269,5,2,2,0,1,0,Glucosamine-6-phosphate deaminase,NONE,Q8DV70,NONE,NONE
2crr_A_cavity_1,11,2.957,0.2688,8,2,1,0,0,0,Stromal membrane-associated protein 1,NONE,Q8IYB5,NONE,NONE
2dfa_A_cavity_2,10,2.687,0.2687,6,2,2,0,0,0,UPF0271 protein TTHB195,NONE,Q53WG6,NONE,NONE
2clp_D_cavity_1,11,2.955,0.2686,6,3,1,0,1,0,Aflatoxin B1 aldehyde reductase member 3,NONE,O95154,NONE,NONE
1viu_D_cavity_2,12,3.219,0.2682,3,3,3,3,0,0,GDP-mannose pyrophosphatase nudK,NONE,P37128,NONE,NONE
2pih_A_cavity_1,10,2.68,0.268,8,2,0,0,0,0,Uncharacterized protein ymcA,NONE,O31779,NONE,NONE
1f3u_D_cavity_1,9,2.412,0.268,6,2,1,0,0,0,General transcription factor IIF subunit 2,NONE,P13984,NONE,NONE
2q8k_A_cavity_2,14,3.749,0.2678,7,1,2,0,4,0,Proliferation-associated protein 2G4,NONE,Q9UQ80,NONE,NONE
3c0k_B_cavity_2,10,2.671,0.2671,7,0,1,1,1,0,Ribosomal RNA large subunit methyltransferase I,NONE,P75876,NONE,NONE
3e0k_A_cavity_2,10,2.661,0.2661,5,1,4,0,0,0,Amino-acid acetyltransferase,NONE,Q87M87,NONE,NONE
